Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Downtown Montréal Nord,45.50435,-73.57668000000001,La Cage,45.507744786264155,-73.56561206108678,Sports Bar
Downtown Montréal Nord,45.50435,-73.57668000000001,Parc Percy-Walters,45.49944891397454,-73.58462325496673,Park
Downtown Montréal Nord,45.50435,-73.57668000000001,Starbucks,45.500734,-73.565887,Coffee Shop
Downtown Montréal Nord,45.50435,-73.57668000000001,Albert Bistro,45.50218789145818,-73.56453833331517,Bistro
Downtown Montréal Nord,45.50435,-73.57668000000001,Épicerie Eden,45.51033120524995,-73.57514505886544,Grocery Store
Downtown Montréal Nord,45.50435,-73.57668000000001,Rudsak,45.49661854564218,-73.57623583732172,Boutique
Downtown Montréal Nord,45.50435,-73.57668000000001,Courtyard Montreal Downtown,45.50526884082178,-73.56419831514359,Hotel
Downtown Montréal Nord,45.50435,-73.57668000000001,Hestia,45.496445037095576,-73.58116724368368,Tea Room
Downtown Montréal Nord,45.50435,-73.57668000000001,Thé Kiosque,45.496150771339686,-73.57756257117717,Tea Room
Downtown Montréal Nord,45.50435,-73.57668000000001,Provigo,45.496439,-73.570662,Grocery Store
Downtown Montréal Nord,45.50435,-73.57668000000001,Upstairs Jazz Bar & Grill,45.49548050704861,-73.57636949214954,Jazz Club
Downtown Montréal Nord,45.50435,-73.57668000000001,Jerry Ferrer,45.502485291697994,-73.56508984977313,Comfort Food Restaurant
Downtown Montréal Nord,45.50435,-73.57668000000001,Hôtel Le Crystal,45.49660985911774,-73.57251363017417,Hotel
Downtown Montréal Nord,45.50435,-73.57668000000001,Le Centre Sheraton Montreal Hotel,45.49796248822784,-73.57163608074188,Hotel
Downtown Montréal Nord,45.50435,-73.57668000000001,Frigo Vert,45.49704960356509,-73.57965492309437,Grocery Store
Downtown Montréal Nord,45.50435,-73.57668000000001,Le Sommet,45.50096700445379,-73.58021498951409,Residential Building (Apartment / Condo)
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Café Shäika,45.472153919173266,-73.61258286015838,Café
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Park Notre-Dame-De-Grâce,45.47271625728808,-73.61488886134596,Park
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Chalet BBQ,45.4728759,-73.6112929,BBQ Joint
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Notre-Boeuf-de-Grâce,45.470463150249024,-73.61602703089194,Burger Joint
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Hwang Kum,45.46895958815452,-73.61897728273976,Korean Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Chez Fred,45.473885204093186,-73.60933850674438,Bakery
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Moksha Yoga NDG,45.47660580955393,-73.62149820061569,Yoga Studio
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Khorasan Kabab,45.470672138340106,-73.61547433532387,Persian Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Maté Latte,45.46947516482671,-73.61796876900344,Café
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,MELK Bar à Café,45.47535834987635,-73.62297920222049,Café
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Bofinger,45.47092302859579,-73.61522278995785,BBQ Joint
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Soba & Sushi Bar,45.4748757442369,-73.60840426395997,Sushi Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Ideal Body Clinic,45.474168057295515,-73.6243252925341,Massage Studio
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Maison India,45.4691499486129,-73.61846181232318,Indian Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Sushi Yu Mi,45.4759927485829,-73.60680967804825,Sushi Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Dollarama,45.47032,-73.61558,Discount Store
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Momesso,45.46992314379407,-73.60821198442953,Sandwich Place
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Star of India,45.4693592990586,-73.61827711864996,Indian Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Au Premier Spa Urbain,45.4770433,-73.6215246,Spa
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Kokkino cafe,45.47082456666667,-73.6152673,Café
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Lucille’s Oyster Dive,45.475361936934824,-73.62301420246094,Seafood Restaurant
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Nextdoor Pub & Grill,45.47536546952376,-73.6076739256164,Pub
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Want Apothecary,45.477507602103344,-73.60504945478034,Clothing Store
Notre-Dame-de-Grâce Nord-Ouest,45.47271,-73.61494,Monkland Tavern,45.476276545763156,-73.62229899526983,Restaurant
